Hospital_Referral_Region,Outpatient_Services,Average_Estimated_Submitted_Charges,Average_Total_Payments
MA - Boston,64,1099.394375,336.34375
MS - Gulfport,11,1514.74,284.0390909
MI - Muskegon,75,190.67,314.388
ME - Portland,88,668.0567045,276.7417045
MA - Boston,30,655.7533333,346.396
MT - Billings,33,305.8236364,304.1987879
OH - Toledo,34,3737.323529,303.5
RI - Providence,18,306.3438889,329.9
MI - Ann Arbor,70,944.3147143,293.2902857
NH - Lebanon,182,762.9946703,341.3924176
ME - Portland,33,511.5660606,305.7933333
ME - Bangor,51,587.0270588,290.1494118
MT - Missoula,41,241.2134146,319.572439
MI - Detroit,18,3907.113333,282.025
MO - St. Louis,16,2036.1,288.3375
ME - Portland,38,1361.302895,300.7731579
ME - Bangor,62,459.6516129,250.4670968
MA - Boston,22,1020.427727,337.5786364
ME - Bangor,21,345.4404762,263.9838095
MO - St. Louis,13,2232.917692,279.5484615
ND - Fargo/Moorhead MN,66,435.9636364,291.9845455
MN - Minneapolis,38,339.9776316,332.12
WI - La Crosse,76,228.1710526,313.4509211
MI - Petoskey,18,589.5,295.2444444
MI - Ann Arbor,32,1476.843125,288.4546875
MO - St. Louis,16,2402.8875,297.58
NH - Manchester,69,1132.583478,321.2382609
WI - Green Bay,43,1067.234884,267.6634884
MN - Minneapolis,113,334.459469,293.0027434
ME - Portland,165,472.3169697,281.5345455
MA - Boston,53,1126.178868,308.1128302
MI - Flint,46,1540.389783,322.9752174
MA - Boston,31,3177.240323,365.2293548
ND - Fargo/Moorhead MN,61,283.2616393,300.0301639
ME - Portland,43,355.4283721,277.8334884
MI - Marquette,42,572.4295238,308.0121429
MA - Boston,313,1275.257636,288.8813099
KY - Louisville,16,2225.855625,261.46875
MA - Springfield,29,962.9158621,358.4224138
MO - Springfield,23,1190.217391,285.55
ME - Portland,33,428.8624242,305.0566667
MA - Boston,46,1648.717826,364.7604348
MO - Joplin,25,575.57,265.5836
MI - Detroit,169,443.2869822,201.1481065
MA - Boston,11,961.7490909,371.3536364
MT - Billings,22,228.2727273,290.1472727
MI - Saginaw,31,1254.149355,306.7416129
MI - Detroit,91,306.3987912,284.6893407
NY - Albany,38,1375.127368,317.4194737
ME - Bangor,70,248.586,282.5482857
MA - Boston,11,1019,303.6563636
ME - Portland,24,320.6245833,294.9275
MI - Lansing,18,657.2922222,278.7955556
MN - Minneapolis,25,400.48,305.6104
MA - Springfield,45,297.7964444,313.1328889
MI - Kalamazoo,13,127.9230769,299.6330769
MI - Detroit,28,1862.035714,271.3571429
MI - Ann Arbor,14,1312.58,280.0971429
MI - Marquette,21,162.7009524,256.2414286
MT - Billings,176,265.1534091,297.6628977
NH - Lebanon,159,492.6980503,300.1918239
LA - New Orleans,108,761.8322222,280.0652778
MA - Boston,238,541.0548319,315.0080252
MI - Saginaw,16,1611.06875,282.62875
MI - Grand Rapids,14,214.5078571,300.61
MA - Worcester,151,765.7762252,351.475894
MA - Springfield,20,601.469,371.1745
MO - Kansas City,12,8496.9925,279.8941667
MS - Gulfport,14,862.3814286,273.8278571
MA - Worcester,19,883.3552632,312.5357895
LA - Baton Rouge,22,652.5681818,270.3904545
MA - Boston,43,886.0913953,317.3125581
NJ - New Brunswick,13,1852.762308,366.56
NY - Rochester,11,992.1390909,237.6390909
VT - Burlington,11,558.5836364,300.78
OH - Cleveland,57,1320.742807,280.8384211
ND - Fargo/Moorhead MN,454,347.3755507,285.8235683
NC - Durham,21,848.3780952,235.7266667
NC - Hickory,71,460.1371831,252.9377465
VT - Burlington,14,1886.961429,338.03
NC - Asheville,14,4519.702143,252.8571429
OH - Canton,17,1161.382353,287.85
NY - Manhattan,56,1194.830357,339.3139286
ND - Grand Forks,216,558.7337963,275.9393519
OK - Lawton,12,2863.2875,275.25
NJ - Camden,20,2858.34,294.044
OH - Columbus,175,437.3473143,265.9713714
NC - Winston-Salem,55,871.5318182,250.5118182
NM - Albuquerque,84,308.8135714,297.5458333
OH - Cleveland,45,835.9877778,298.5491111
NY - Albany,17,665.4947059,280.5682353
NJ - Morristown,22,2743.829545,366.56
NC - Durham,43,512.7509302,251.7227907
NY - Manhattan,11,1259.009091,254.0318182
NC - Charlotte,20,4469.634,291.5735
NC - Asheville,81,314.1445679,234.0364198
NY - Rochester,14,746.3664286,331.79
NY - Buffalo,38,1002.780789,256.4944737
NC - Greensboro,41,47.19512195,151.1239024
ND - Minot,149,737.0832886,306.6506711
NY - Albany,21,946.0204762,270.8538095
OH - Columbus,140,367.0532143,265.6805
OH - Columbus,30,486.8253333,282.464
PA - Philadelphia,12,12929.75,335.01
NY - Albany,82,261.4647561,317.5234146
VT - Burlington,33,607.4169697,296.2227273
ND - Fargo/Moorhead MN,134,436.0597015,262.2362687
NC - Asheville,33,1283.323939,274.6181818
NY - Manhattan,26,4934.654615,289.5126923
OK - Oklahoma City,71,390.1559155,261.8887324
ND - Bismarck,188,321.2794681,274.8328723
TX - Dallas,20,530.8,271.4775
OH - Akron,16,4721.033125,296.26
NY - Buffalo,26,674.6569231,264.9207692
NY - Buffalo,14,993.1592857,264.0757143
NY - Manhattan,13,5986.503077,372.58
NC - Winston-Salem,13,1234.133846,282.8569231
NC - Durham,14,820,283.3528571
OH - Columbus,90,295.5152222,277.004
PA - Erie,18,1002.207778,280.84
NY - Syracuse,23,345.2408696,302.346087
OH - Cincinnati,11,6117.708182,299.83
NY - Albany,18,3018.605556,279.4161111
NY - Albany,34,580.2411765,270.4929412
NC - Asheville,12,261.6083333,277.5625
NC - Durham,12,961.1866667,292.435
OH - Cleveland,15,1991.928,290.736
NJ - New Brunswick,12,3055.6175,336.1441667
OK - Tulsa,24,883.2083333,252.8991667
NY - Rochester,88,1155.393295,249.1914773
NY - Buffalo,29,593.3786207,261.5131034
NY - Albany,21,464.8166667,272.802381
NY - Buffalo,25,787.9204,195.3852
NY - Binghamton,188,369.4041489,261.1431915
NJ - Hackensack,14,1240.132143,372.58
OH - Cleveland,563,722.8598579,275.556714
OH - Cleveland,18,536.0555556,257.1866667
NY - Elmira,47,49.41170213,269.2519149
NY - Syracuse,12,1928.140833,297.5725
OH - Toledo,29,3173.657241,267.9606897
OH - Toledo,14,5676.111429,272.2114286
NC - Winston-Salem,163,341.0647239,270.9252761
NY - Binghamton,86,411.2562791,277.7577907
TX - Lubbock,11,1034.3,291.71
NY - Albany,33,270.4393939,300.9354545
NY - Rochester,31,1072.893548,285.7651613
NC - Raleigh,12,3761.066667,297.22
NY - Bronx,31,3282.744839,330.5145161
VT - Burlington,37,379.2983784,284.5497297
NM - Albuquerque,37,531.8621622,303.9559459
NY - Buffalo,20,782.074,289.6075
OH - Columbus,17,1045.541176,311.0835294
TX - San Antonio,20,223.5235,278.005
PA - Wilkes-Barre,66,1435.335606,268.3412121
SD - Sioux Falls,32,130.018125,294.019375
SC - Columbia,16,5995.611875,314.79
SD - Sioux Falls,41,181.82,323.8487805
TX - Temple,536,1060.813899,263.7701493
OR - Eugene,19,304.2105263,309.49
PA - Philadelphia,11,1776.515455,297.6645455
PA - Pittsburgh,19,2829.534737,226.3421053
SC - Spartanburg,12,2176.363333,281.6441667
TN - Knoxville,57,278.3975439,251.2657895
TX - Beaumont,12,6795.235833,225.5033333
PA - Pittsburgh,11,1687.454545,182.6590909
OR - Portland,19,501.5273684,331.0531579
